RK,NAME,TEAM,SALARY
92,"Kevin Martin, SG",Minnesota Timberwolves,"$6,792,500"
93,"JJ Redick, SG",Los Angeles Clippers,"$6,792,500"
94,"Wilson Chandler, SF",Denver Nuggets,"$6,757,913"
95,"Jason Richardson, SG",Philadelphia 76ers,"$6,601,125"
96,"J.R. Smith, SG",New York Knicks,"$6,515,510"
97,"Carl Landry, PF",Sacramento Kings,"$6,500,000"
98,"Greivis Vasquez, PG",Toronto Raptors,"$6,400,000"
99,"Derrick Williams, PF",Sacramento Kings,"$6,331,404"
100,"Jarrett Jack, PG",Brooklyn Nets,"$6,300,000"
RK,NAME,TEAM,SALARY
101,"Kyle Korver, SG",Atlanta Hawks,"$6,253,521"
102,"Landry Fields, SG",Toronto Raptors,"$6,250,000"
103,"Robin Lopez, C",Portland Trail Blazers,"$6,124,729"
104,"Jason Thompson, PF",Sacramento Kings,"$6,037,500"
105,"Gerald Henderson, SG",Charlotte Hornets,"$6,000,000"
106,"Jodie Meeks, SG",Detroit Pistons,"$6,000,000"
107,"Chuck Hayes, PF",Toronto Raptors,"$5,958,750"
108,"Jason Terry, SG",Houston Rockets,"$5,850,313"
109,"Patrick Patterson, PF",Toronto Raptors,"$5,831,326"
110,"P.J. Tucker, SF",Phoenix Suns,"$5,700,000"
RK,NAME,TEAM,SALARY
111,"Enes Kanter, C",Utah Jazz,"$5,694,674"
112,"Anthony Davis, PF",New Orleans Pelicans,"$5,607,240"
113,"Anthony Bennett, PF",Minnesota Timberwolves,"$5,563,920"
114,"Andrew Wiggins, SG",Minnesota Timberwolves,"$5,510,640"
115,"Greg Monroe, C",Detroit Pistons,"$5,479,934"
116,"Courtney Lee, SG",Memphis Grizzlies,"$5,450,000"
117,"Louis Williams, SG",Toronto Raptors,"$5,450,000"
118,"Jamal Crawford, SG",Los Angeles Clippers,"$5,450,000"
119,"Martell Webster, SF",Washington Wizards,"$5,381,750"
120,"JJ Hickson, C",Denver Nuggets,"$5,381,750"
RK,NAME,TEAM,SALARY
121,"Chris Andersen, PF",Miami Heat,"$5,375,000"
122,"Spencer Hawes, PF",Los Angeles Clippers,"$5,305,000"
123,"Josh McRoberts, PF",Miami Heat,"$5,305,000"
124,"Paul Pierce, SF",Washington Wizards,"$5,305,000"
125,"Nikola Mirotic, PF",Chicago Bulls,"$5,305,000"
126,"Keith Bogans, SG",Philadelphia 76ers,"$5,285,817"
127,"Zaza Pachulia, C",Milwaukee Bucks,"$5,200,000"
128,"Tristan Thompson, C",Cleveland Cavaliers,"$5,138,430"
129,"Michael Kidd-Gilchrist, SF",Charlotte Hornets,"$5,016,960"
130,"Brandan Wright, PF",Phoenix Suns,"$5,000,000"
RK,NAME,TEAM,SALARY
131,"Trevor Booker, PF",Utah Jazz,"$5,000,000"
132,"Nick Young, SF",Los Angeles Lakers,"$4,994,420"
133,"Victor Oladipo, SG",Orlando Magic,"$4,978,200"
134,"Jabari Parker, PF",Milwaukee Bucks,"$4,930,560"
135,"Luis Scola, PF",Indiana Pacers,"$4,868,499"
136,"Tony Allen, SG",Memphis Grizzlies,"$4,831,461"
137,"Chris Kaman, C",Portland Trail Blazers,"$4,800,000"
138,"Darren Collison, PG",Sacramento Kings,"$4,797,664"
139,"Kostas Papanikolaou, SF",Houston Rockets,"$4,797,664"
140,"Corey Brewer, SG",Minnesota Timberwolves,"$4,702,500"
RK,NAME,TEAM,SALARY
141,"Ricky Rubio, PG",Minnesota Timberwolves,"$4,660,479"
142,"Andre Miller, PG",Washington Wizards,"$4,650,000"
143,"Timofey Mozgov, C",Denver Nuggets,"$4,650,000"
144,"Bradley Beal, SG",Washington Wizards,"$4,505,280"
145,"Caron Butler, SF",Detroit Pistons,"$4,500,000"
146,"Jonas Jerebko, PF",Detroit Pistons,"$4,500,000"
147,"Otto Porter Jr., SF",Washington Wizards,"$4,470,480"
148,"Joel Embiid, C",Philadelphia 76ers,"$4,427,640"
149,"Luc Richard Mbah a Moute, PF",Philadelphia 76ers,"$4,382,576"
150,"Jared Dudley, SF",Milwaukee Bucks,"$4,250,000"
RK,NAME,TEAM,SALARY
151,"Kris Humphries, PF",Washington Wizards,"$4,250,000"
152,"C.J. Miles, SF",Indiana Pacers,"$4,205,000"
153,"Thabo Sefolosha, SF",Atlanta Hawks,"$4,150,000"
154,"Dion Waiters, SG",Oklahoma City Thunder,"$4,062,000"
155,"Samuel Dalembert, C",New York Knicks,"$4,051,527"
156,"Cody Zeller, C",Charlotte Hornets,"$4,030,560"
157,"Danny Green, SG",San Antonio Spurs,"$4,025,000"
158,"Mario Chalmers, PG",Miami Heat,"$4,000,000"
159,"Ian Mahinmi, C",Indiana Pacers,"$4,000,000"
160,"Aaron Gordon, PF",Orlando Magic,"$3,992,040"
RK,NAME,TEAM,SALARY
161,"Mo Williams, PG",Charlotte Hornets,"$3,965,074"
162,"Vince Carter, SG",Memphis Grizzlies,"$3,911,981"
163,"Kevin Seraphin, PF",Washington Wizards,"$3,898,692"
164,"Devin Harris, PG",Dallas Mavericks,"$3,878,896"
165,"Bismack Biyombo, C",Charlotte Hornets,"$3,873,398"
166,"Patty Mills, PG",San Antonio Spurs,"$3,842,105"
167,"Joel Anthony, C",Detroit Pistons,"$3,800,000"
168,"Raymond Felton, PG",Dallas Mavericks,"$3,793,693"
169,"Jonas Valanciunas, C",Toronto Raptors,"$3,678,360"
170,"Thomas Robinson, PF",Portland Trail Blazers,"$3,678,360"
RK,NAME,TEAM,SALARY
171,"Marreese Speights, C",Golden State Warriors,"$3,657,500"
172,"Alex Len, C",Phoenix Suns,"$3,649,920"
173,"Dante Exum, PG",Utah Jazz,"$3,615,000"
174,"Brandon Knight, PG",Phoenix Suns,"$3,553,917"
175,"Gerald Green, SF",Phoenix Suns,"$3,500,000"
176,"Darrell Arthur, PF",Denver Nuggets,"$3,457,149"
177,"Steve Novak, SF",Utah Jazz,"$3,445,947"
178,"Matt Barnes, SF",Los Angeles Clippers,"$3,396,250"
179,"Mirza Teletovic, PF",Brooklyn Nets,"$3,368,100"
180,"Damian Lillard, PG",Portland Trail Blazers,"$3,340,920"
RK,NAME,TEAM,SALARY
181,"Mike Scott, PF",Atlanta Hawks,"$3,333,333"
182,"Tyler Hansbrough, PF",Toronto Raptors,"$3,326,235"
183,"Andrei Kirilenko, SF",Brooklyn Nets,"$3,326,235"
184,"Mike Dunleavy, SG",Chicago Bulls,"$3,326,235"
185,"Nerlens Noel, PF",Philadelphia 76ers,"$3,315,120"
186,"Marcus Smart, PG",Boston Celtics,"$3,283,320"
187,"Alexey Shved, PG",Philadelphia 76ers,"$3,282,056"
188,"Jason Smith, PF",New York Knicks,"$3,278,000"
189,"Evan Turner, SG",Boston Celtics,"$3,278,000"
190,"Bojan Bogdanovic, SG",Brooklyn Nets,"$3,278,000"
RK,NAME,TEAM,SALARY
191,"Kemba Walker, PG",Charlotte Hornets,"$3,272,091"
192,"Carlos Boozer, PF",Los Angeles Lakers,"$3,251,000"
193,"Gary Neal, PG",Charlotte Hornets,"$3,250,000"
194,"Carlos Delfino, SG",LA Clippers,"$3,250,000"
195,"Anthony Morrow, SG",Oklahoma City Thunder,"$3,200,000"
196,"Dorell Wright, SF",Portland Trail Blazers,"$3,150,000"
197,"Quincy Pondexter, SF",Memphis Grizzlies,"$3,146,068"
198,"Chris Copeland, F",Indiana Pacers,"$3,135,000"
199,"Klay Thompson, SG",Golden State Warriors,"$3,075,880"
200,"Harrison Barnes, SF",Golden State Warriors,"$3,049,920"
RK,NAME,TEAM,SALARY
201,"Alec Burks, SG",Utah Jazz,"$3,034,356"
202,"Ben McLemore, SG",Sacramento Kings,"$3,026,280"
203,"Joel Freeland, C",Portland Trail Blazers,"$3,013,512"
204,"Anthony Tolliver, PF",Phoenix Suns,"$3,000,000"
205,"Kosta Koufos, C",Memphis Grizzlies,"$3,000,000"
206,"Jerryd Bayless, PG",Milwaukee Bucks,"$3,000,000"
207,"D.J. Augustin, PG",Oklahoma City Thunder,"$3,000,000"
208,"Randy Foye, SG",Denver Nuggets,"$3,000,000"
209,"Julius Randle, PF",Los Angeles Lakers,"$2,997,360"
210,"Markieff Morris, PF",Phoenix Suns,"$2,989,239"
RK,NAME,TEAM,SALARY
211,"Furkan Aldemir, PF",Philadelphia 76ers,"$2,963,232"
212,"Marcus Morris, PF",Phoenix Suns,"$2,943,221"
213,"Will Bynum, PG",Washington Wizards,"$2,915,908"
214,"Kawhi Leonard, SF",San Antonio Spurs,"$2,894,059"
215,"Marco Belinelli, SG",San Antonio Spurs,"$2,873,750"
216,"Terrence Ross, SF",Toronto Raptors,"$2,793,960"
217,"Kentavious Caldwell-Pope, SG",Detroit Pistons,"$2,772,480"
218,"Nikola Vucevic, C",Orlando Magic,"$2,751,260"
219,"Luke Ridnour, PG",Orlando Magic,"$2,750,000"
220,"Nik Stauskas, SG",Sacramento Kings,"$2,745,840"
RK,NAME,TEAM,SALARY
221,"Brian Roberts, PG",Charlotte Hornets,"$2,732,000"
222,"Udonis Haslem, PF",Miami Heat,"$2,732,000"
223,"Jameer Nelson, PG",Denver Nuggets,"$2,732,000"
224,"Mike Miller, SG",Cleveland Cavaliers,"$2,732,000"
225,"Kirk Hinrich, SG",Chicago Bulls,"$2,732,000"
226,"Iman Shumpert, SG",New York Knicks,"$2,616,975"
227,"Andre Drummond, C",Detroit Pistons,"$2,568,360"
228,"Trey Burke, PG",Utah Jazz,"$2,548,560"
229,"Noah Vonleh, PF",Charlotte Hornets,"$2,524,200"
230,"James Johnson, PF",Toronto Raptors,"$2,500,000"
RK,NAME,TEAM,SALARY
231,"DeMarre Carroll, SF",Atlanta Hawks,"$2,442,455"
232,"Austin Rivers, PG",Los Angeles Clippers,"$2,439,840"
233,"Shelvin Mack, PG",Atlanta Hawks,"$2,433,333"
234,"C.J. McCollum, SG",Portland Trail Blazers,"$2,421,000"
235,"Elfrid Payton, PG",Orlando Magic,"$2,397,840"
236,"Tobias Harris, SF",Orlando Magic,"$2,380,594"
