Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Line,O/U,DK,FD
247,Stephen Curry,26-294,G,1/2/2015,GSW,,TOR,W,1,34,10,18,0.556,5,7,0.714,5,11,0.46,7,7,1.00,2,3,5,12,1,0,0,3,32,33.9,-4.5,216.5,62.25,58.00
1297,Anthony Davis,22-033,F-C,4/13/2015,NOP,@,MIN,W,1,36,8,14,0.571,8,14,0.571,0,0,,8,8,1.00,4,7,11,5,2,6,1,3,24,29.8,-14,198,62.25,59.70
70,LaMarcus Aldridge,29-193,F,1/28/2015,POR,@,CLE,L,1,41,13,23,0.565,11,20,0.550,2,3,0.67,10,10,1.00,3,8,11,2,1,2,2,3,38,32.2,2.5,203,62.25,58.20
60,DeMarcus Cousins,24-136,C,12/27/2014,SAC,,NYK,W,1,32,14,27,0.519,13,26,0.500,1,1,1.00,10,11,0.91,3,8,11,4,0,2,5,5,39,27,-6,202.5,62.25,57.20
2788,LeBron James,30-096,F-G,4/5/2015,CLE,,CHI,W,1,37,8,17,0.471,7,14,0.500,1,3,0.33,3,6,0.50,2,8,10,12,3,1,3,4,20,21.4,-8,194,62.00,55.00
340,Stephen Curry,26-247,G,11/16/2014,GSW,@,LAL,W,1,30,10,19,0.526,5,10,0.500,5,9,0.56,5,5,1.00,0,4,4,15,1,0,3,0,30,30.4,-8,213,62.00,56.30
225,Tim Duncan,38-238,F-C,12/19/2014,SAS,,POR,L,1,43,12,24,0.500,12,24,0.500,0,0,,8,9,0.89,2,8,10,3,2,4,1,3,32,28.1,-4.5,197,62.00,59.50
919,Mo Williams,32-098,G,3/27/2015,CHO,@,WAS,L,0,41,8,26,0.308,4,16,0.250,4,10,0.40,6,7,0.86,1,8,9,10,2,2,4,4,26,18.5,4.5,188,61.75,55.80
819,Andre Drummond,21-164,C,1/21/2015,DET,,ORL,W,1,30,10,14,0.714,10,14,0.714,0,0,,6,8,0.75,4,13,17,1,4,3,5,5,26,25.9,-8,209,61.75,56.90
670,Stephen Curry,26-309,G,1/17/2015,GSW,@,HOU,W,1,33,9,18,0.500,7,10,0.700,2,8,0.25,7,8,0.88,3,4,7,11,3,1,2,0,27,30.3,2,214.5,61.75,57.90
